"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"149",="5522","遠雄","市","03/08","52.9","-0.2","-0.38","10","78.2","78.2","413","42.6","21.2","","","","有","","","建材營造業","趙文嘉","湯佳峰"
"150",="6592","和潤企業","市","03/08","80.2","+0.1","+0.12","10","51.5","51.5","413","21.8","1.2","","","有","有","","","其他業","田天明","林彥良"
"151",="2015","豐興","市","03/08","70.1","-0.1","-0.14","10","58.2","58.2","408","52.2","28.8","","","","","","","鋼鐵工業","林明儒","林大鈞"
"152",="2889","國票金","市","03/08","13.9","0","0","10","290","290","403","19","19","","","有","","","","金控業","魏啟林","丁予嘉"
"153",="6547","高端疫苗","櫃","03/08","188","-15.5","-7.62","10","21.1","21.2","398","8.4","2.9","","","","","","","生技醫療業","張世忠","陳燦堅"
"154",="9917","中保科","市","03/08","87.3","-0.3","-0.34","10","45.1","45.1","394","43.3","27.2","","","","","","","其他業","林孝信","小野寺博史"
"155",="2006","東和鋼鐵","市","03/08","38.7","+0.5","+1.31","10","102","100","389","58.8","32.7","","","有","有","","","鋼鐵工業","侯傑騰","侯傑騰"
"156",="6456","GIS-KY","市","03/08","114.5","-2","-1.72","10","33.9","33.9","389","10.2","5.7","","","有","","","","光電業","周賢穎","周賢穎"
"157",="2441","超豐","市","03/08","66.4","-1","-1.48","10","56.9","56.9","378","38","20.4","","","","","","","半導體業","蔡篤恭","甯鑑超"
"158",="6116","彩晶","市","03/08","12.2","-0.05","-0.41","10","303","303","369","22.7","19.6","有","","有","","","","光電業","焦佑麒","焦佑麒"
"159",="1314","中石化","市","03/08","11.2","+0.3","+2.75","10","328","328","368","51.7","29.7","有","","有","","","","塑膠工業","陳瑞隆","余建松"
"160",="3682","亞太電","市","03/08","9.63","-0.09","-0.93","10","382","382","368","20.8","7.6","","","","","有","","通信網路業","呂芳銘","黃南仁"
"161",="9941","裕融","市","03/08","110.5","+3.5","+3.27","10","43.2","33.2","367","30.9","21.2","","","","有","","有","其他業","嚴陳莉蓮","許國興"
"162",="3653","健策","市","03/08","299.5","-15","-4.77","10","12.2","12.2","366","33.9","11.3","有","","有","","","","電子零組件業","趙宗信","趙永昌"
"163",="3152","璟德","櫃","03/08","530","-12","-2.21","10","6.9","6.9","366","22.9","13","有","","有","","","","通信網路業","雙德投資股份有限公司-代表人郭建文","郭建文"
"164",="3706","神達","市","03/08","30.3","0","0","10","121","121","366","7.5","7.5","有","","有","","","","電腦及週邊設備業","苗豐強","何繼武"
"165",="2845","遠東銀","市","03/08","10.6","-0.05","-0.47","10","345","345","365","29.2","22.3","","","","","","","銀行業","侯金英","周添財"
"166",="3576","聯合再生","市","03/08","13.7","-0.1","-0.72","10","267","267","365","15.5","12.2","","","","","有","","光電業","洪傳獻","潘文輝(執行長)"
"167",="3665","貿聯-KY","市","03/08","274","-6","-2.14","10","13.3","13.1","358","20.8","9.9","","","有","有","","","其他電子業","梁華哲","鄧劍華"
"168",="6732","昇佳電子","櫃","03/08","735","0","0","10","4.89","4.89","360","11.3","0.8","","","有","","","","半導體業","李盛樞","楊祝原"
"169",="3005","神基","市","03/08","60.6","+1.7","+2.89","10","58.9","58.4","354","31.4","19","","","有","","","","電腦及週邊設備業","黃明漢","黃明漢"
"170",="2101","南港","市","03/08","42.75","+0.3","+0.71","10","83.4","83.4","357","62","57.4","","","有","有","","","橡膠工業","張昌平","詹彩雲"
"171",="1904","正隆","市","03/08","32.1","+0.3","+0.94","10","111","111","356","62.1","49.5","","","有","","","","造紙工業","鄭舒云","蔡東和"
"172",="6271","同欣電","市","03/08","198","-3","-1.49","10","17.9","17.9","354","46.6","13.3","有","","有","","","","半導體業","陳泰銘","呂紹萍"
"173",="3036","文曄","市","03/08","44.7","+0.3","+0.68","10","92.6","79.1","354","27.2","20.4","有","","","有","","有","電子通路業","鄭文宗","鄭文宗"
"174",="4968","立積","市","03/08","551","-16","-2.82","10","6.32","6.21","342","17.2","5.3","","","有","","","","半導體業","馬代駿","王是琦"
"175",="2108","南帝","市","03/08","68.6","-1.4","-2","10","49.2","49.2","338","42.2","28.4","","","有","","","","橡膠工業","楊東源","許建祝"
"176",="2838","聯邦銀","市","03/08","10.75","0","0","10","329","309","333","29.2","22.7","","","","","","有","銀行業","李憲章","林鴻聯"
"177",="2106","建大","市","03/08","36.55","+0.85","+2.38","10","90.9","90.9","332","58.9","30.2","","","","","","","橡膠工業","楊啟仁","陳昭榮"
"178",="2903","遠百","市","03/08","22.9","0","0","10","142","142","324","53.5","42.4","","","","","","","貿易百貨業","徐旭東","徐雪芳"
"179",="1909","榮成","市","03/08","25.25","+0.15","+0.6","10","128","128","323","43","35.3","有","","有","","","","造紙工業","鄭瑛彬","鄭瑛彬"
"180",="2368","金像電","市","03/08","58.5","+1.1","+1.92","10","54.6","54.6","320","39.5","23","","","有","","","","電子零組件業","楊承澤","楊承澤"
"181",="6278","台表科","市","03/08","109","-4.5","-3.96","10","29.2","29.2","319","31","17","有","","有","","","","光電業","伍開雲","伍開雲"
"182",="4961","天鈺","市","03/08","188","-20.5","-9.83","10","16.7","16.7","313","25.7","2.4","","","","","","","半導體業","林永杰","邱淑慧"
"183",="4123","晟德","櫃","03/08","68","-1.6","-2.3","10","45.9","45.9","312","61.3","17.4","有","","有","","有","","生技醫療業","林榮錦","許瑞寶"
"184",="6005","群益證","市","03/08","14.2","+0.1","+0.71","10","217","217","308","32.7","25.5","","","","","","","證券業","王濬智","賈中道"
"185",="6670","復盛應用","市","03/08","234.5","0","0","10","13.1","13.1","307","10.5","2.2","","","有","","","","其他業","李亮箴","江慶生"
"186",="6412","群電","市","03/08","78.5","-0.9","-1.13","10","38.9","38.9","305","12.2","7.3","","","","","","","電子零組件業","呂進宗","曾國華"
"187",="1536","和大","市","03/08","109","-4","-3.54","10","28","28","305","48.1","20.9","有","","有","","","","汽車工業","沈國榮","陳俊智"
"188",="8086","宏捷科","櫃","03/08","152.5","-4","-2.56","10","20","20","305","22.2","11.8","有","","有","","有","","半導體業","祁幼銘","黃國鈞"
"189",="6446","藥華藥","櫃","03/08","115.5","-6.5","-5.33","10","26.3","26.3","304","20.8","4.6","","","","","有","","生技醫療業","詹青柳","黃正谷"
"190",="2059","川湖","市","03/08","318","+2.5","+0.79","10","9.53","9.53","303","34.5","15.9","有","","有","","","","電子零組件業","林聰吉","林淑珍"
"191",="2606","裕民","市","03/08","35.5","-0.5","-1.39","10","84.5","84.5","300","52.5","30.3","有","","有","有","","","航運業","徐旭東","王書吉"
"192",="2504","國產","市","03/08","25.35","+0.15","+0.6","10","118","118","299","66.3","43","","","有","","","","建材營造業","徐蘭英","徐蘭英"
"193",="6285","啟碁","市","03/08","75.1","+0.3","+0.4","10","39.8","39.8","299","24.3","17.5","有","","有","","","","通信網路業","謝宏波","高健榮"
"194",="4128","中天","櫃","03/08","69.6","-1.6","-2.25","10","42.5","42.5","296","20.8","14.7","","","有","","","","生技醫療業","黃山內","黃山內"
"195",="6274","台燿","櫃","03/08","110","-1.5","-1.35","10","26.7","26.7","294","46.8","17.2","有","","有","有","","","電子零組件業","辛忠衡","陳加南"
"196",="3042","晶技","市","03/08","94.8","-1.2","-1.25","10","31","31","294","37.2","20","有","","有","","","","電子零組件業","林萬興","郭雅屏"
"197",="2849","安泰銀","市","03/08","14.85","0","0","10","196","196","291","28.1","21.4","","","","","有","","銀行業","丁予康","張振芳代理"
"198",="4174","浩鼎","櫃","03/08","144","-4.5","-3.03","10","19.9","19.9","287","18.9","6","","","","","","","生技醫療業","張念慈","張念慈"
"199",="2723","美食-KY","市","03/08","157.5","+1.5","+0.96","10","18","18","284","12.4","10.3","","","有","","","","觀光事業","吳政學","吳政學"
"200",="2634","漢翔","市","03/08","29.95","+0.2","+0.67","10","94.2","94.2","282","24.7","6.5","","","有","有","","","航運業","胡開宏","馬萬鈞"
"201",="2855","統一證","市","03/08","20.15","-0.25","-1.23","10","140","140","282","32.2","22.1","","","","","","","證券業","林寬成","蔡森部"
"202",="2451","創見","市","03/08","65","-0.2","-0.31","10","42.9","42.9","279","31.5","19.8","","","","","","","半導體業","束崇萬","洪完勳"
"203",="2439","美律","市","03/08","133","-2","-1.48","10","20.9","20.9","278","45.2","20.5","有","","有","有","","","通信網路業","廖祿立","黃朝豊"
"204",="4915","致伸","市","03/08","61.4","+0.7","+1.15","10","45.2","45.2","277","15","8.4","","","有","","","","電子零組件業","梁立省","梁立省"
"205",="9933","中鼎","市","03/08","36.3","-0.7","-1.89","10","76.3","76.3","277","41.9","27.8","","","","有","","","其他業","楊宗興","陳裕仁"
"206",="6510","精測","櫃","03/08","845","-18","-2.09","10","3.28","3.28","277","15.5","5","有","","有","","","","半導體業","林國豐","黃水可"
"207",="1304","台聚","市","03/08","23.25","+1.55","+7.14","10","119","119","276","55.8","48.8","","","有","","","","塑膠工業","吳亦圭","王克舜"
"208",="8415","大國鋼","櫃","03/08","26.35","-0.5","-1.86","10","103","103","272","13.7","4.5","","","","","","","鋼鐵工業","謝麗雲","謝榮坤"
"209",="2204","中華","市","03/08","49.05","0","0","10","55.4","55.4","272","51.7","30","","","","","","","汽車工業","嚴陳莉蓮","陳昭文"
"210",="2456","奇力新","市","03/08","104","-3","-2.8","10","25.8","25.5","266","48.5","19.4","","","有","有","","","電子零組件業","陳泰銘","郭耀井"
"211",="8150","南茂","市","03/08","36.7","-0.4","-1.08","10","72.7","72.7","267","23.6","6.9","","","有","","","","半導體業","鄭世杰","鄭世杰"
"212",="1707","葡萄王","市","03/08","178.5","0","0","10","14.8","14.8","264","49.9","38.2","有","","有","","有","","生技醫療業","曾盛麟","曾盛麟"
"213",="2104","國際中橡","市","03/08","26.45","+0.05","+0.19","10","98.5","98.5","260","47.7","34.7","","","有","","","","橡膠工業","辜公怡","黃柏松"
"214",="2014","中鴻","市","03/08","18.1","+0.25","+1.4","10","144","144","260","37.4","29","","","有","","","","鋼鐵工業","劉敏雄","曾貴松"
"215",="3680","家登","櫃","03/08","310","-8","-2.52","10","8.37","8.41","261","23","9.5","","","有","","","","半導體業","邱銘乾","林添瑞"
"216",="8436","大江","櫃","03/08","219","+6.5","+3.06","10","11.8","11.8","259","40.5","7.5","有","","有","有","","","生技醫療業","林詠翔","林詠翔"
"217",="1736","喬山","市","03/08","84.5","-0.7","-0.82","10","30.4","30.4","257","45.4","18.2","","","有","","","","生技醫療業","羅崑泉","羅光廷"
"218",="1723","中碳","市","03/08","108","+2","+1.89","10","23.7","23.7","256","32.1","22.3","","","","","","","化學工業","羅文驥","方明達"
"219",="1503","士電","市","03/08","48.95","+0.1","+0.2","10","52.1","52.1","255","65.3","51.2","","","","","","","電機機械","許育瑞","謝漢章"
"220",="9958","世紀鋼","市","03/08","110.5","-1.5","-1.34","10","23","21.1","233","33.4","13","","","有","有","","","鋼鐵工業","賴文祥","林明政"
"221",="3227","原相","櫃","03/08","178.5","+0.5","+0.28","10","14.2","14.2","253","22.7","14.8","有","","有","","","","半導體業","黃森煌","黃森煌"
"222",="3081","聯亞","櫃","03/08","276.5","-5.5","-1.95","10","9.14","9.14","253","23.8","5.6","有","","有","","","","通信網路業","張景溢","羅淇生"
"223",="8341","日友","市","03/08","226.5","-2","-0.88","10","11.2","11.2","253","26.3","6","","","","","","","其他業","張芳正","張芳正"
"224",="3228","金麗科","櫃","03/08","372","-8","-2.11","10","6.78","6.78","252","23.6","16","","","","","有","","半導體業","易建男","易建男"
"225",="1440","南紡","市","03/08","15.2","+0.55","+3.75","10","166","166","252","66","31.4","","","有","","","","紡織纖維","育鵬投資股份有限公司","王立範"
"226",="2023","燁輝","市","03/08","13.25","+0.25","+1.92","10","189","189","251","42.9","25.6","","","有","","","","鋼鐵工業","林義守","吳林茂"
"227",="8070","長華*","市","03/08","39.2","+0.05","+0.13","1","6.39","63.9","250","31.8","17.4","","","有","有","","","電子通路業","黃嘉能","黃俊勳"
"228",="2206","三陽工業","市","03/08","31.15","-0.15","-0.48","10","80.3","80.3","250","59.5","24.6","","","有","","","","汽車工業","吳清源","吳清源"
"229",="2231","為升","市","03/08","204.5","-17.5","-7.88","10","12.2","12.2","249","32.2","12","有","","有","","","","汽車工業","尤山泉","尤山泉"
"230",="1313","聯成","市","03/08","18.6","+0.45","+2.48","10","133","133","248","44.6","32","","","有","","","","塑膠工業","苗豐強","柯衣紹"
"231",="1513","中興電","市","03/08","51.9","+0.5","+0.97","10","47.6","42","218","64.9","27","","","有","有","","","電機機械","江義福","郭慧娟"
"232",="2548","華固","市","03/08","89.2","-0.4","-0.45","10","27.7","27.7","247","31.9","20.6","有","","有","有","","","建材營造業","鍾榮昌","洪嘉昇"
"233",="3376","新日興","市","03/08","128.5","+1.5","+1.18","10","19.2","19.2","246","52.7","15.2","有","","有","","","","電子零組件業","呂勝男","林清正"
"234",="3006","晶豪科","市","03/08","86.2","-0.8","-0.92","10","28.6","28.6","246","22.8","19","有","","有","","","","半導體業","陳興海","張明鑒"
"235",="4142","國光生","市","03/08","57","-1.6","-2.73","10","43","40.9","233","55.2","8.8","","","","有","","","生技醫療業","詹啟賢","留忠正"
"236",="3019","亞光","市","03/08","87","-1.1","-1.25","10","28.1","28.1","245","40.4","20.4","有","","有","","","","光電業","賴以仁","林泰朗"
"237",="9938","百和","市","03/08","81.8","-1.1","-1.33","10","29.8","29.8","244","36.1","20.2","有","","有","","","","其他業","鄭森煤","鄭誠禕"
"238",="5469","瀚宇博","市","03/08","46.05","-0.05","-0.11","10","52.8","52.8","243","32","20.1","","","有","","","","電子零組件業","焦佑衡","陶正國"
"239",="1507","永大","市","03/08","59","0","0","10","41.1","41.1","242","54.7","31.3","","","","","","","電機機械","許作名","蔡尚育"
"240",="5306","桂盟","櫃","03/08","192","-2","-1.03","10","12.6","12.6","242","31.9","25.2","","","有","","","","其他業","吳盈進","吳瑞章"
"241",="1409","新纖","市","03/08","14.85","+0.4","+2.77","10","162","162","240","53.9","47.5","","","有","","","","紡織纖維","吳東昇","羅時銓"
"242",="2428","興勤","市","03/08","186.5","-1.5","-0.8","10","12.8","12.8","239","41.6","20.5","","","有","","","","電子零組件業","隋台中","何益盛"
"243",="6146","耕興","櫃","03/08","258.5","+2.5","+0.98","10","9.24","9.24","239","23.9","19.1","","","有","有","","","其他電子業","黃文亮","黃文亮"
"244",="5534","長虹","市","03/08","82.1","-0.5","-0.61","10","29","29","238","45.3","19","有","","有","有","","","建材營造業","李文造","李耀中"
"245",="2103","台橡","市","03/08","28.65","-0.05","-0.17","10","82.6","82.6","237","47.3","38.5","","","有","","","","橡膠工業","殷琪","蔡偉強"
"246",="8016","矽創","市","03/08","196.5","-3.5","-1.75","10","12","12","236","28.7","17.2","","","有","","","","半導體業","毛穎文","王崴"
"247",="2392","正崴","市","03/08","45.85","-0.4","-0.86","10","51.2","51.2","235","34.7","21.5","有","","有","有","","","電子零組件業","郭台強","郭台強"
"248",="1312","國喬","市","03/08","25.65","+1.8","+7.55","10","92.7","90.7","233","47.5","32.2","有","","有","","","有","塑膠工業","楊品正","曾嘉雄"
"249",="6214","精誠","市","03/08","86.1","-0.1","-0.12","10","26.9","26.9","232","24.2","18.2","有","","有","","","","資訊服務業","林隆奮","林隆奮"
"250",="2388","威盛","市","03/08","46.95","-1.45","-3","10","49.3","49.3","232","28.5","22","","","","","有","","半導體業","陳文琦","陳文琦"
"251",="6548","長科*","櫃","03/08","63.4","-1.2","-1.86","1","3.64","36.4","231","11.2","4.5","","","有","","","","半導體業","黃嘉能","洪全成"
"252",="1785","光洋科","櫃","03/08","46.25","+0.55","+1.2","10","49.8","59.2","274","42.5","16.1","","","","","有","","其他電子業","馬堅勇","黃啟峰"
"253",="2498","宏達電","市","03/08","28.1","-0.45","-1.58","10","81.9","81.9","230","23.8","19","有","有","有","","","","通信網路業","王雪紅","王雪紅"
"254",="3138","耀登","市","03/08","491.5","+25.5","+5.47","10","4.67","4.67","230","31.1","0.2","","","","","","","通信網路業","張玉斌","張玉斌"
"255",="6491","晶碩","市","03/08","327","+20","+6.51","10","7","7","229","11.5","1.4","","","有","","","","生技醫療業","童子賢","楊德勝"
"256",="6414","樺漢","市","03/08","233.5","-5.5","-2.3","10","9.68","9.68","226","21.7","6.9","有","","有","","","","電腦及週邊設備業","朱復銓","蔡能吉"
"257",="8926","台汽電","市","03/08","38.35","0","0","10","58.9","58.9","226","28.8","20.8","","","有","","","","油電燃氣業","張明杰","余廣勛"
"258",="1808","潤隆","市","03/08","60.8","-0.4","-0.65","10","37","37","225","44.2","26.4","","","","有","","","建材營造業","蔡聰賓","蔡聰賓"
"259",="2501","國建","市","03/08","19.4","-0.05","-0.26","10","116","116","225","56.3","53.4","","","","","","","建材營造業","張清櫆","李虹明"
"260",="3017","奇鋐","市","03/08","63.2","-0.5","-0.78","10","35.3","35.3","223","29.2","18.4","","","有","","","","電腦及週邊設備業","沈慶行","沈慶行"
"261",="3312","弘憶股","市","03/08","17.7","-0.25","-1.39","10","12.5","12.5","22.1","25.4","15.3","","","","","","","電子通路業","葉佳紋","劉彥輝"
"262",="1232","大統益","市","03/08","137.5","+3","+2.23","10","16","16","220","38.8","25.1","","","","","","","食品工業","羅智先","陳昭良"
"263",="9940","信義","市","03/08","29.8","-0.15","-0.5","10","73.7","73.7","220","34.1","21.3","","","","有","","","其他業","薛健平","劉元智"
"264",="3552","同致","櫃","03/08","256","-25","-8.9","10","8.56","8.56","219","41.3","12.2","有","","有","","","","其他電子業","陳信忠","陳信忠"
"265",="6561","是方","櫃","03/08","308","+8.5","+2.84","10","7.02","7.05","217","30.1","2.8","","","有","","","","通信網路業","吳彥宏","劉耀元"
"266",="5434","崇越","市","03/08","119","-0.5","-0.42","10","18.2","18.2","216","31.1","20.8","","","有","","","","電子通路業","潘重良","曾海華及李正榮"
"267",="2328","廣宇","市","03/08","41.7","-1.9","-4.36","10","51.8","51.8","216","49.8","27.3","有","","有","","","","電子零組件業","盧松發","盧松發"
"268",="6257","矽格","市","03/08","50.1","-0.2","-0.4","10","43","42.2","211","32.2","17.5","有","","有","有","","","半導體業","黃興陽","葉燦鍊"
"269",="5530","龍巖","櫃","03/08","51.3","-0.2","-0.39","10","42","42","216","34","20.4","","","","","有","","其他業","KELLY LEE","王群中"
"270",="6182","合晶","櫃","03/08","41.6","+0.75","+1.84","10","51.1","51.1","213","23.6","18.8","有","","有","有","","","半導體業","焦平海","焦平海"
"271",="3264","欣銓","櫃","03/08","43.3","-0.6","-1.37","10","49","49","212","21.4","16.2","有","","有","有","","","半導體業","盧志遠","張季明"
"272",="1319","東陽","市","03/08","35.85","-0.2","-0.55","10","59.1","59.1","212","53.4","26.2","有","","","","","","汽車工業","吳永豐","吳永祥"
"273",="6712","長聖","櫃","03/08","343","+26.5","+8.37","10","6.16","6.16","211","4.3","0.2","","","","","","","生技醫療業","劉銖淇","黃文良"
"274",="2867","三商壽","市","03/08","8.44","+0.02","+0.24","10","250","250","211","27.7","8.2","","","","有","","","保險業","陳翔玠","張鎮坤"
"275",="2637","慧洋-KY","市","03/08","28","+0.1","+0.36","10","74.6","74.6","209","12.4","10.3","","","有","有","","","航運業","藍俊昇","鄭俊聲"
"276",="2373","震旦行","市","03/08","88.3","+0.3","+0.34","10","23.6","23.6","209","57.6","29.6","","","","","","","其他電子業","袁蕙華","周銘中"
"277",="2820","華票","市","03/08","15.35","+0.05","+0.33","10","134","134","206","42.3","26.4","","","","","","","銀行業","吳正慶","魏政祥"
"278",="6541","泰福-KY","市","03/08","65.9","-0.1","-0.15","10","31.2","31.2","205","7.8","3.4","","","","","","","生技醫療業","趙宇天","陳林正"
"279",="2362","藍天","市","03/08","30.35","0","0","10","67","67","203","37.4","23.9","","","","有","","","電腦及週邊設備業","許崑泰","蔡明賢"
"280",="3673","TPK-KY","市","03/08","49.85","+0.7","+1.42","10","40.7","40.7","203","15.3","10.4","有","","有","有","","","光電業","江朝瑞","謝立群"
"281",="3545","敦泰","市","03/08","96.1","-3.1","-3.13","10","21","21","202","15.2","13.7","","","有","有","","","半導體業","胡正大","胡正大"
"282",="2608","嘉里大榮","市","03/08","43.15","-0.1","-0.23","10","46.7","46.7","202","61.2","30.2","","","","","","","航運業","沈宗桂","營運總處：張國典; 財務暨行政總處：阮慧雯"
"283",="1789","神隆","市","03/08","25.45","-0.15","-0.59","10","79.1","79.1","201","23.3","9.4","","","有","","","","生技醫療業","羅智先","蘇崇銘"
"284",="1215","卜蜂","市","03/08","74.9","+1.3","+1.77","10","26.8","26.8","201","43.5","33.6","","","有","","","","食品工業","鄭武樾","許瑞通"
"285",="5371","中光電","櫃","03/08","46.2","-0.8","-1.7","10","43.4","43.4","201","28.7","22.1","有","","有","","","","光電業","張威儀","林惠姿 陳士元"
"286",="6196","帆宣","市","03/08","107","-3","-2.73","10","18.7","18.7","200","32.2","18.4","","","有","","","","其他電子業","高新明","林育業"
"287",="9802","鈺齊-KY","市","03/08","106","-1.5","-1.4","10","18.6","18.5","197","11.3","8.4","","","有","有","","","其他業","林文智","廖芳祝"
"288",="4147","中裕","櫃","03/08","78","-2.2","-2.74","10","25.2","25.2","197","13.5","5.3","","","","","","","生技醫療業","張念原","張念原"
"289",="6153","嘉聯益","市","03/08","35","+0.15","+0.43","10","55.6","55.6","195","28.3","19.1","有","","有","","有","","電子零組件業","蔡長穎","李華全"
"290",="3596","智易","市","03/08","92.9","-1.1","-1.17","10","20.8","20.8","194","17.8","12","","","有","有","","","通信網路業","陳瑞聰","曾釗鵬"
"291",="1773","勝一","市","03/08","107.5","0","0","10","18","18","194","42.1","12","","","有","","","","化學工業","孫靜源","孫靜源"
"292",="4551","智伸科","市","03/08","176.5","-2.5","-1.4","10","11","10.6","187","34.1","5.6","","","有","有","","","汽車工業","林正盛","林恩道"
"293",="6533","晶心科","市","03/08","452.5","-12.5","-2.69","10","4.27","4.27","193","16","4","","","","","","","半導體業","蔡明介","蘇泓萌"
"294",="2393","億光","市","03/08","43.4","-0.35","-0.8","10","44.3","44.3","192","37.8","21.3","有","","有","有","","","光電業","葉寅夫","葉寅夫"
"295",="4766","南寶","市","03/08","159","-0.5","-0.31","10","12.1","12.1","192","57.4","2.3","","","","","","","化學工業","吳政賢","許明現"
"296",="9939","宏全","市","03/08","66.5","+1.8","+2.78","10","28.8","28.8","191","51.6","20","有","","有","有","","","其他業","戴宏全","曹世忠"
"297",="6202","盛群","市","03/08","84.1","-1.1","-1.29","10","22.6","22.6","190","22.4","18.3","","","有","","","","半導體業","吳啟勇","高國棟"
"298",="2247","汎德永業","市","03/08","235.5","0","0","10","8.07","8.07","190","41.3","0.4","","","","","","","汽車工業","唐慕蓮","杜黃旭"
"299",="3324","雙鴻","櫃","03/08","215.5","-2","-0.92","10","8.81","8.84","190","22.5","15.8","有","","有","有","","","其他電子業","林育申","林育申"
"300",="4576","大銀微系統","市","03/08","160","-8","-4.76","10","11.9","11.9","190","23.9","1.5","","","有","","","","電機機械","卓永財","絲國一"
